name,address,rating,review_count,lat,lon,tit1,zipcodes
Shin-Sen-Gumi Hakata Ramen-Gardena,"2015 W Redondo Beach Blvd  Ste C  Gardena, CA 90247",4.5,3015,33.88746,-118.31395,Ramen,90247
Terroni,"7605 Beverly Blvd  Los Angeles, CA 90036",3.5,1150,34.0762749,-118.3555375,Italian,90036
El Guanaco Restaurant,"5656 Santa Monica Blvd  Los Angeles, CA 90038",4.5,41,34.09043121,-118.3132706,Salvadoran,90038
Rajdhani,"18525 Pioneer Blvd  Artesia, CA 90701",4.0,587,33.86306010000001,-118.0824125,Indian,90701
Hinano Café,"15 Washington Blvd  Venice, CA 90292",4.0,657,33.979483,-118.466505,Dive Bars,90292
Homeboy Cafe & Bakery,"400 World Way  Los Angeles, CA 90045",3.0,151,33.94336843,-118.40816389999999,Seafood,90045
KFC,"10937 Alondra Blvd  Norwalk, CA 90650",3.0,15,33.88807882,-118.10139009999999,Fast Food,90650
Domino's Pizza,"1844 Pacific Coast Hwy  Lomita, CA 90717",2.0,62,33.7893251,-118.31107320000001,Pizza,90717
Bravo Pizza,"5142 Hollywood Blvd  Los Angeles, CA 90027",4.0,124,34.10151,-118.30195,Pizza,90027
Sage Vegan Bistro - Agoura Hills,"5046 Cornell Rd  Ste 109  Agoura Hills, CA 91301",5.0,12,34.144211999999996,-118.755147,Vegan,91301
NOMOO New American Burgers,"7502 Melrose Ave  Los Angeles, CA 90046",4.0,17,34.08373549,-118.3533615,Vegan,90046
Bar Avalon,"2112 W Sunset Blvd  Ste K  Los Angeles, CA 90026",5.0,31,34.077228000000005,-118.264145,American (New),90026
BEST FCKN PIZZA,"11419 Santa Monica Blvd  Ste 26  West Los Angeles, CA 90025",4.0,23,34.04586167,-118.4514983,Pizza,90025
Del Taco,"11446 Jefferson Blvd  Culver City, CA 90230",2.0,116,33.98907852,-118.3964462,Tex-Mex,90230
Totally 80's Bar & Grille,"2512 W Orangethorpe Ave  Fullerton, CA 92833",3.0,413,33.85861,-117.97228,Bars,92833
Tacos Super Gallito,"1200 W Anaheim St.  Wilmington, CA 90744",2.5,15,33.778882,-118.27698799999999,Food Trucks,90744
Trimana,"600 S Commonwealth Ave  Los Angeles, CA 90005",3.5,11,34.063033000000004,-118.28551850000001,Breakfast & Brunch,90005
Giuliano's Delicatessen & Bakery,"1700 Aviation Blvd  Redondo Beach, CA 90278",3.0,230,33.87083,-118.382053,Caterers,90278
Jack in the Box,"2511 S Vermont Ave  Los Angeles, CA 90007",2.0,25,34.0334,-118.2919,Fast Food,90007
WooRee Restaurant,"2520 W 8th St  Ste 108  Los Angeles, CA 90057",4.5,37,34.05684,-118.28303000000001,Korean,90057
Janet Restaurant,"1245 N Avalon Blvd  Los Angeles, CA 90744",5.0,1,33.787971500000005,-118.2634506,Mexican,90744
King Mediterrano,"4354 Redondo Beach Blvd  Torrance, CA 90504",4.5,1272,33.87411308,-118.3514384,Mediterranean,90504
Veggie Grill,"2025 Wilshire Blvd  Santa Monica, CA 90403",4.0,959,34.0321,-118.48286999999999,Vegetarian,90403
Winchell's Donuts,"716 N Western Ave  Los Angeles, CA 90029",3.5,28,34.084179999999996,-118.30883,Donuts,90029
South Baylo University Snack Shop,"2727 W 6th St  Los Angeles, CA 90057",3.5,3,34.063269,-118.28235900000001,Korean,90057
Superba Food + Bread,"1900 S Lincoln Blvd  Los Angeles, CA 90291",4.0,862,33.99627524,-118.45655559999999,American (New),90291
Cafe Valentino,"3601 W Olive Ave  Ste 140  Burbank, CA 91505",4.0,64,34.15238897,-118.3391102,Coffee & Tea,91505
Pirozzi's Italian Deli,"1453 W 8th St  San Pedro, CA 90732",4.0,125,33.73676,-118.30941000000001,Italian,90732
California Pizza Kitchen -Glendale,"101 N Brand Blvd  Glendale  Glendale, CA 91203",3.5,362,34.14696,-118.25545,Pizza,91203
Buko Restaurant,"327 N Verdugo Rd  Glendale, CA 91206",4.0,269,34.15063955,-118.23680039999999,Japanese,91206
Los Taquitos,"1120 W Florence Ave  Inglewood, CA 90301",4.0,86,33.96113411,-118.3759287,Mexican,90301
Kress-Market,"443 Pine Ave  Long Beach, CA 90000",4.0,149,33.77267,-118.19276,Grocery,90000
Food 630,"630 W 5th St  Los Angeles, CA 90071",3.5,3,34.050270000000005,-118.25506000000001,Restaurants,90071
Penny Oven,"2131 Colorado Blvd  Los Angeles, CA 90041",4.0,114,34.13946,-118.21275,Breakfast & Brunch,90041
Polly's Pies Restaurant,"136 N Raymond Ave  Fullerton, CA 92831",3.5,306,33.871517,-117.90613400000001,Bakeries,92831
Pizza Hut,"3400 E 1st St  Los Angeles, CA 90063",1.5,50,34.03688649,-118.1949118,Italian,90063
Saigon Eatery,"20527 S Western Ave  Torrance, CA 90501",5.0,9,33.844088,-118.30986899999999,Noodles,90501
Pura Vita,"8274 Santa Monica Blvd  West Hollywood, CA 90046",4.5,413,34.09066602,-118.36968600000002,Italian,90046
Park Ave Restaurant,"11200 Beach Blvd  Stanton, CA 90680",4.0,1066,33.79951,-117.99251000000001,American (New),90680
Chinatown Kitchen,"7922 Rosecrans Ave  Ste B-1  Paramount, CA 90723",4.0,86,33.903109,-118.16110400000001,Chinese,90723
Sako's Sandwich Shop,"12000 Slauson Ave  Santa Fe Springs, CA 90670",4.0,121,33.9633203,-118.0602341,Sandwiches,90670
Jersey Mike's Subs,"531-B North Hollywood Way  Burbank, CA 91505",3.5,49,34.159694,-118.34449199999999,Sandwiches,91505
Louisiana Famous Fried Chicken,"8409 S 8th Ave  Ste A  Inglewood, CA 90305",4.5,11,33.96217,-118.32681000000001,Chicken Wings,90305
Old Time Noodle House,"15325 S Western Ave  Gardena, CA 90249",4.0,221,33.89249,-118.30946999999999,Korean,90249
Kerostena,"12546 Valley View St  Garden Grove, CA 92845",4.5,693,33.779958,-118.03122409999999,Mediterranean,92845
Bill's Drive In,"1664 E Florence Ave  Los Angeles, CA 90001",4.5,41,33.9745551,-118.24379840000002,Burgers,90001
La Metapaneca,"6033 Atlantic Blvd  Maywood, CA 90270",4.0,2,33.984359999999995,-118.186356,Salvadoran,90270
Birrieria El Rebaño,"8534 Long Beach Blvd  South Gate, CA 90280",4.5,11,33.95973986,-118.22209369999999,Mexican,90280
Subway,"2112 Beverly Blvd  Los Angeles, CA 90057",2.5,28,34.066716,-118.270831,Sandwiches,90057
The Courtyard Café,"1000 N Alameda St  Los Angeles, CA 90012",3.5,10,34.05921654,-118.2360445,Cafes,90012
Flames All Stars,"2400 E Katella Ave  Anaheim, CA 92806",4.0,70,33.804508899999995,-117.8822935,Food Trucks,92806
Casa Martin Mexican Restaurant,"1654 Ocean Ave  Santa Monica, CA 90401",4.0,829,34.010277200000004,-118.49376550000001,Mexican,90401
Los Tacos,"7954 Santa Monica Blvd  W Hollywood, CA 90046",3.5,434,34.0906851,-118.3631966,Mexican,90046
Los Bros Tacos,"5400 Atlantic Ave  Long Beach, CA 90805",4.0,7,33.854768,-118.184537,Food Trucks,90805
El Huarachito,"3010 N Broadway  Los Angeles, CA 90031",4.5,628,34.07336,-118.2098,Mexican,90031
MARGI,"Hawthorne, CA 90250",5.0,1,33.92098,-118.35031000000001,Food Trucks,90250
Jimmy John's,"2031 East Spring St  Long Beach, CA 90806",4.0,46,33.812064,-118.166987,Sandwiches,90806
Phoenix Café,"888 Bicycle Casino Dr  Bell Gardens, CA 90201",3.5,8,33.96599322,-118.1653461,Asian Fusion,90201
Carnitas Michoacan,"1901 N Broadway  Los Angeles, CA 90031",4.0,1242,34.07251,-118.2213,Mexican,90031
WaBa Grill,"15754 Paramount Blvd  Ste B  Paramount, CA 90723",2.5,25,33.88959142,-118.159811,Fast Food,90723
WaBa Grill,"2324 Whittier Blvd  Ste 8  Los Angeles, CA 90023",2.5,26,34.03451281,-118.2163615,Asian Fusion,90023
El Torito Cafe,"1462 Griffith Ave  Los Angeles, CA 90021",4.0,35,34.02862167,-118.25075530000001,Mexican,90021
Kentro Greek Kitchen,"100 S Harbor Blvd  Ste A  Fullerton, CA 92832",4.0,1260,33.87013652,-117.923818,Greek,92832
Old Lightning,"2905 Washington Blvd  Marina del Rey, CA 90292",4.0,85,33.98826,-118.45146000000001,American (New),90292
Costa Grande,"7139 Sepulveda Blvd  Van Nuys, CA 91405",4.5,946,34.20022433,-118.46709709999999,Mexican,91405
La Casita Mexicana,"4030 E Gage Ave  Bell, CA 90201",4.0,1065,33.9786,-118.19515,Mexican,90201
Boba Bear,"12105 Santa Monica Blvd  Los Angeles, CA 90025",4.0,419,34.04067,-118.4639,Cafes,90025
